SL No.,NDVI,LST,BURNED_AREA,1 Occurrence
108,0.582301,14961.77778,4,1
109,0.570747,14504.41286,4.235414,0
110,0.60287,14447.66667,3.666667,0
111,0.401609,13863.31818,4.583333,0
112,0.599489,14711.5,3,0
113,0.555382,14697.33333,5,0
114,0.50683,14333.57143,4.785714,1
115,0.591742,14234.69444,4.947034,0
116,0.548443,15130.19048,4.619048,0
117,0.444175,14528,4.7,1
118,0.636726,14418.64407,4.928571,0
119,0.472408,14805.77778,4.077079,1
120,0.587625,14881.3,3.8,0
121,0.683897,14844,5,0
122,0.558721,15039.43651,4.888889,0
123,0.545559,14113.41989,4.62439,0
124,0.579063,14532.76,3.93913,0
125,0.425139,14495.63333,5,0
126,0.614242,14445.5,5,0
127,0.568812,14698.83333,4.071429,0
128,0.60056,14897.74074,4.413793,1
129,0.61425,14636.5,4,1
130,0.568388,14608,3,1
131,0.506331,14726,5,1
132,0.530633,14800.90244,4.746032,0
133,0.517031,14526.46429,4.97619,0
134,0.569022,14886.63441,4.969574,1
135,0.588788,14574,5,0
136,0.391421,14094,5,0
137,0.595854,14681.85185,3.706897,1
138,0.57268,15120.6875,3.875,0
139,0.562434,15198.88372,5.186047,1
140,0.573356,13640.5,3,0
141,0.428883,14715.275,4.902542,0
142,0.556638,15272.5,5,0
143,0.630026,14395.87719,4.548246,0
144,0.580193,14575,5,0
145,0.659175,14589,5,0
146,0.377639,14708.29412,4.944573,1
147,0.576844,14545,5,0
148,0.62222,14464,3,0
149,0.60495,14905.50856,4.99521,1
150,0.536268,13998,4,0
151,0.656264,14546,5,0
152,0.496743,15038.91667,4.75,0
153,0.480501,14022.21053,4.761905,0
154,0.50297,14742.00935,4.912698,0
155,0.503497,14415.41739,5,0
156,0.585781,15043.33333,5,0
157,0.598009,14193.28571,4.775956,0
158,0.713342,14848,5,0
159,0.605086,14091.5,3,0
160,0.495869,14564.54032,4.8125,0
161,0.478873,15154.5,4.982456,1
162,0.530114,15221.09788,5.178899,0
163,0.622892,14112.23256,4.985507,0
164,0.602128,14970.8,3.793103,0
165,0.529735,14537,5,0
166,0.600585,14482,4.2,0
167,0.579892,15148,4,0
168,0.601972,14747.35714,4.809524,0
169,0.59929,15056.71429,4.714286,0
170,0.633808,14690.8835,4.868421,0
171,0.504636,14256.16981,4.084556,0
172,0.475246,14044,4.5,0
173,0.558943,14867.40909,5,0
174,0.579681,14953,5,1
175,0.502867,14499.70797,4.965217,0
176,0.552938,14540.75,4.5,0
177,0.550412,14737.84,5,0
178,0.130482,13814.125,4.3125,0
179,0.587878,14564,5,0
180,0.536745,14244.75,5,0
181,0.634218,14500.59934,4.623188,0
182,0.698006,14874,3,1
183,0.515248,14297.66667,5,0
184,0.624118,15088.64789,4.915493,0
185,0.618764,14971.77778,4.333333,0
186,0.515752,14844.55263,4.894981,1
187,0.50801,15308.88235,6.380952,1
188,0.14337,13760.66667,4.888889,0
189,0.616006,14610,5,0
190,0.610716,15035,5,0
191,0.669458,14507.8475,4.508532,0
192,0.645072,14845,5,0
193,0.495869,14564.54032,4.8125,0
194,0.579521,15032.13433,4.983051,0
195,0.550884,14737.81081,4.972973,0
196,0.566751,14277,4,0
197,0.58807,14237.58955,4.313253,0
198,0.655654,14509.76316,4.662162,0
199,0.469593,14603.62745,4.470968,1
200,0.472267,14899.78431,4.546075,0
201,0.537299,14793.11765,5,0
202,0.707885,14463.61503,4.922921,0
203,0.515843,15075.11304,4.965217,0
204,0.537155,14974.5,5,0
205,0.582378,14035.08333,4.444444,0
206,0.606958,14498,5,0
207,0.556868,15032.6,4,1
208,0.634759,14196,3,0
209,0.538456,15011.48185,4.295652,0
210,0.534588,15085.73529,5,0
211,0.63856,14656,5,0
212,0.319861,14118.33333,3.875,0
213,0.473636,15611.57051,4.661202,0
214,0.472834,15214.68,5.608696,1
215,0.515455,14593.76,5,0
216,0.484558,14191.875,4.179299,0
217,0.709763,14389,5,0
218,0.553826,14553.5,4.5,0
219,0.695231,14274.5,5,0
220,0.512105,14005,4,0
221,0.568952,14285.86047,4.901408,0
222,0.500036,14770.01915,4.62845,0
223,0.631085,14880,5,1
224,0.509767,14552.5,4,0
225,0.431869,14617.72523,4.486446,0
226,0.572342,15251,9,1
227,0.688899,14595.48148,4.962963,0
228,0.668532,14543,5,0
229,0.583612,14574,5,0
230,0.497435,14534,5,0
231,0.515075,14712,3.5,0
232,0.699087,13987.01149,4.429363,0
233,0.552452,14493.33333,5,1
234,0.589768,14772.66667,4.4,0
235,0.588323,13762.42857,4.705882,0
236,0.483698,14180.36066,4.944535,0
237,0.63523,14740,3,0
238,0.580253,15022.03659,4.697561,1
239,0.442523,14678.7,4.607843,0
240,0.602914,14921,5,0
241,0.64596,14516.66071,5.309524,1
242,0.587937,14218,5,0
243,0.685834,13836.9,4.99169,0
244,0.537944,13997,3,0
245,0.667157,14469,5,0
246,0.665819,14310,4.824324,1
247,0.679133,14951,5,0
248,0.469879,15014.80749,4.559727,1
249,0.474252,14333,5,0
250,0.473636,15611.57051,4.661202,0
251,0.515379,14857.94444,4.888889,0
252,0.525014,14660,3,0
253,0.605861,14479.7,5,0
254,0.639072,14913,5,0
255,0.585609,15259.02941,5,0
256,0.696477,14658,3,0
257,0.582252,14357,5,0
258,0.624118,15088.64789,4.915493,0
259,0.539537,14745,3,0
260,0.575282,14963,5,0
261,0.61157,14986.21429,4.285714,0
262,0.543776,15174.35256,5.144068,1
263,0.537051,15332,5,0
264,0.586352,14801.58273,4.333333,0
265,0.464733,14729.06832,4.99169,0
266,0.667998,14198.16667,4.927536,0
267,0.529811,14861.06742,4.947826,0
268,0.560765,14380.61765,5,0
269,0.580538,14738,3,0
270,0.579751,14973.20975,4.963983,1
271,0.494559,14739.76364,5,1
272,0.604216,14320.5,3,0
273,0.3843,14682,4.816901,1
274,0.605759,14912.38983,4.874317,1
275,0.686328,14831.5,5,0
276,0.567085,14541,5,0
277,0.506841,14545.125,4.763458,0
278,0.658547,14832,5,1
279,0.534065,15143.07407,5,1
280,0.487356,14949.31579,5,1
281,0.522958,14443.875,4.842105,1
282,0.572166,14040.24074,4.103448,0
283,0.688334,14644.75,5,0
284,0.556998,14530.75,5,0
285,0.537218,14702,5,0
286,0.588443,14224.18841,4.556604,0
287,0.626398,14517.40956,4.767918,0
288,0.472408,14805.77778,4.077079,1
289,0.653523,14785.70588,4.146789,1
290,0.628137,14394.09091,4.142202,0
291,0.518381,15004.97059,5,1
292,0.604867,14608.8,5,0
293,0.486992,14342.39024,5,0
294,0.592968,14682,3,0
295,0.50015,14200,4,0
296,0.507274,14241.18293,4.886957,0
297,0.534665,14756,5,0
298,0.60672,14638.85714,4.619048,0
299,0.673325,14567.83333,4.444444,0
300,0.627254,14770.3617,4.914894,0
301,0.669915,14827.10345,5,0
302,0.613768,14605.67442,4.348837,0
303,0.550011,15079.02632,5,1
304,0.676671,14385.71154,4.756592,0
305,0.604581,14174.33333,5,0
306,0.615611,14801.33333,4,0
307,0.494794,15051.36364,4.796875,1
308,0.526805,14696,5,0
309,0.563287,14281.91824,4.932079,0
310,0.680796,14908.8,5.142857,1
311,0.528994,14390.5,5,0
312,0.560223,15202.42105,5,0
313,0.473573,14721,4.5,1
314,0.515435,14607.21539,4.507937,1
315,0.497477,14154.58781,4.663415,0
316,0.632962,14306.22222,4.056314,0
317,0.550884,14737.81081,4.972973,0
318,0.368507,14422,4.833333,0
319,0.520871,14766.16667,5,0
320,0.622246,14888.2093,4.395349,0
321,0.499069,15007,5,0
322,0.120046,13298.5,3.5,0
323,0.608305,14512.5,4,0
324,0.482134,15201.66138,4.926978,1
325,0.524378,14653,3,0
326,0.441518,14699.72694,4.737288,0
327,0.694617,14533.66667,5,0
328,0.525014,14660,3,0
329,0.548235,14757.8,5,0
330,0.551964,15471.55556,4.925926,0
331,0.560194,14659,4,0
332,0.536222,14807,3,0
333,0.10731,13792.2,5,0
334,0.441966,15467.62836,4.902481,1
335,0.478873,15154.5,4.982456,1
336,0.528675,13954,5,0
337,0.563776,14171.33333,4.777778,0
338,0.566519,14123,4.966102,0
339,0.525051,15011.69697,4.302326,1
340,0.401609,13863.31818,4.583333,0
341,0.468812,14643.93617,4.235495,1
342,0.640686,14858,3,1
343,0.478435,14227,5,0
344,0.515052,14213.74837,4.934747,0
345,0.63115,15228,5,0
346,0.559342,14690.13333,4.625,1
347,0.441966,15467.62836,4.902481,1
348,0.49346,14705.77143,4.915493,0
349,0.608144,14449.3,4.904762,0
350,0.559439,14873,5,0
351,0.605019,15114,5,0
352,0.442329,14277.48148,5,0
353,0.473319,14680.9,4.808511,0
354,0.579506,14616,5,0
355,0.652994,15077.5,5,0
356,0.657085,14487,5,0
357,0.478435,14227,5,0
358,0.502898,14715,5,1
359,0.662968,14757,3,0
360,0.43433,14755.80702,4.859155,0
361,0.60611,14689,5,0
362,0.654292,15108,5,0
363,0.536492,14626,3,0
364,0.676258,14725.5,4.888889,0
365,0.621461,14393,5,0
366,0.423742,14551.81288,4.420181,1
367,0.426519,14228.28571,5,0
368,0.510788,15009.96667,5,0
369,0.696085,14374,5,0
370,0.536977,14786.84211,4.982609,0
371,0.533068,14818.4,3.8,0
372,0.558044,14969.66667,4.886792,1
373,0.583612,14574,5,0
374,0.406965,13873,4.617073,0
375,0.605563,14296.25676,4.891892,0
376,0.576353,14798.56863,4.607843,0
377,0.449513,15000.4,5,0
378,0.581125,14628.33333,4.952381,0
379,0.452882,14432.54902,4.504878,1
380,0.617781,14934,5,1
381,0.663091,14984,4.777778,0
382,0.567387,15247.07547,4.811321,1
383,0.464813,15457.65217,4.965217,0
384,0.539518,14563.44444,4.952381,0
385,0.582539,14317.8,4.84507,0
386,0.541174,13813.5,3,0
387,0.596937,14722,3.666667,0
388,0.389513,14916.81773,4.794457,1
389,0.48512,14459.69875,4.562806,0
390,0.681533,14933,5,0
391,0.648838,14572.08772,4.913043,0
392,0.614932,14462,5,0
393,0.519862,15126.5,5,0
394,0.598429,14689,4.538462,0
395,0.607632,14791.30659,4.935843,1
396,0.538794,14166,5,0
397,0.702344,14662.93201,4.43871,0
398,0.699433,14652.72254,4.535484,0
399,0.682466,14652,5,0
400,0.660444,14550.375,4.615385,0
401,0.46791,14607.34615,4.98892,1
402,0.428941,14417.53333,4.431193,0
403,0.424902,14812,4.93617,1
404,0.708939,14153,5,0
405,0.642696,14597.66667,5,0
406,0.631953,14908.37456,4.44095,0
407,0.536685,14660.11111,4.830189,0
408,0.570324,14513.5,5,0
409,0.491819,13948.58407,4.796814,0
410,0.527699,14948,5,1
411,0.523611,15020.67372,4.565217,1
412,0.453973,14853,5,0
413,0.577438,15144,4,0
414,0.512178,14624.44737,5,0
415,0.174045,13779.16901,4.676056,0
416,0.449647,14970.38597,4.692982,1
417,0.574245,15030.5,5,0
418,0.632868,14532.19355,4.914894,0
419,0.572342,15251,9,1
420,0.524845,14711.60313,4.895907,1
421,0.483524,14703.44792,4.98783,1
422,0.450263,15438.45098,4.607843,1
423,0.534588,15085.73529,5,0
424,0.636939,14306.70233,4.745614,0
425,0.479156,14784.05882,5,1
426,0.600617,14891.5,5,1
427,0.467766,14807.93333,4.894098,1
428,0.635206,14414,4.690512,1
429,0.467505,14749.93333,4.944598,1
430,0.572482,14366,5,0
431,0.556909,14524.33333,5,0
432,0.682284,14780,5,1
433,0.456558,13864.56667,5,0
434,0.711535,13965,3.703226,0
435,0.671326,14726.67606,4.971831,0
436,0.580911,15018.56863,4.686275,0
437,0.439677,14765.44828,5,1
438,0.615611,14801.33333,4,0
439,0.522769,13994,5,0
440,0.57268,15120.6875,3.875,0
441,0.627471,14745.63793,3.724138,0
442,0.564002,14445.19048,5,0
443,0.438145,14369.50909,4.970339,0
444,0.624863,14628.84946,4.716867,0
445,0.580912,14770.4,4.4,1
446,0.48652,14438.94444,4.833333,0
447,0.65587,14562,3.5,0
448,0.623837,14455.61905,4.36612,1
449,0.513786,14652.23387,4.857143,0
450,0.667583,14115,5,0
451,0.644475,15039.25,5,0
452,0.532313,14489,3,0
453,0.480916,14909,3.637931,1
454,0.673747,14453.78261,4.971014,0
455,0.70851,14391.07042,4.716129,0
456,0.545559,14113.41989,4.62439,0
457,0.65028,14800.125,4.888889,0
458,0.569658,14462,3,1
459,0.556669,14858.17383,4.875347,0
460,0.396272,14332,4.382927,0
461,0.467998,14839.49344,4.862969,0
462,0.55408,14761.66667,4.962963,0
463,0.55267,14439.3,5,1
464,0.605278,14567.66667,3,0
465,0.598544,14884.5,5,0
466,0.734616,14596,5,0
467,0.6601,14500.5,4,0
468,0.603396,14807.19048,4.809524,0
469,0.532569,15049.47059,5,1
470,0.547673,14237.6,5,0
471,0.657085,14487,5,0
472,0.485756,14126,4.59434,0
473,0.565173,14262.6,5,0
474,0.423182,14586.16471,4.476657,0
475,0.456703,14881.116,4.6,0
476,0.640377,14457.5,4.698113,0
477,0.48459,14717.90323,5,1
478,0.697041,14259,4.888889,0
479,0.695167,14588.75,5,0
480,0.546486,14343,5,0
481,0.619246,14814,5,0
482,0.465956,14303.4,5,0
483,0.5931,14916.06957,4.318841,1
484,0.513785,14525.22727,3.637931,0
485,0.618064,14122.25,4.914894,0
486,0.634633,14923.60714,4.97619,0
487,0.530114,15221.09788,5.178899,0
488,0.630733,14373.97194,4.669462,0
489,0.563287,14673.4902,4.882353,0
490,0.573999,14468,3,1
491,0.688334,14644.75,5,0
492,0.543778,14765.25,5,1
493,0.625488,14941.21429,4.428571,0
494,0.421794,14460.85714,5,0
495,0.576319,14402.81818,5,0
496,0.571093,14798.5,4.75,0
497,0.567085,14541,5,0
498,0.572482,14366,5,0
499,0.492132,14892.8,5,0
500,0.517935,14823.61765,5.882353,1
501,0.478502,14614.36,5,0
502,0.641675,15005,5,0
503,0.687941,14413,4,0
504,0.446279,15151.96375,4.859233,1
505,0.121439,13969.18182,5,0
506,0.56985,13914,4.395349,0
507,0.552721,14405,3,0
508,0.57627,14959.05391,4.421384,1
509,0.586448,13891.6506,4.97619,0
510,0.58786,14688.4,4.8,0
511,0.63613,14709.62698,4.382609,1
512,0.687639,14672,5,0
513,0.586448,13891.6506,4.97619,0
514,0.441084,14288.26667,4.75,0
515,0.456017,14027.5,4,0
516,0.609722,14381.61834,4.479358,0
517,0.466677,14517.07692,4.235495,1
518,0.4275,14882,5,0
519,0.538733,14259,5,0
520,0.498599,14544.43333,4.33913,1
521,0.662241,14018.80645,4.804688,0
522,0.544498,14395.5,5,0
523,0.626756,14812,3,0
524,0.434481,14581.59307,4.355505,0
525,0.427322,13799.91453,4.982906,0
526,0.410039,14721.16667,4.647887,1
527,0.513233,14709,5,0
528,0.570244,14596.75,4.732394,0
529,0.575863,13994.81522,4.830189,0
530,0.626348,14063.12,5,0
531,0.631131,14356.33333,5,0
532,0.548776,14734.84314,4.947826,0
533,0.485788,14705.44681,5,1
534,0.454228,14929.57143,4.904762,1
535,0.579681,14953,5,1
536,0.630227,14815.55556,4.555556,0
537,0.715045,14961,5,0
538,0.536006,14715,5,1
539,0.516076,13967,5,0
540,0.66514,14392.39844,4.796875,0
541,0.431869,14617.72523,4.486446,0
542,0.540635,14717.625,4.142857,1
543,0.511655,14475.68,5,0
544,0.508593,14919.15415,5.229917,1
545,0.525051,15011.69697,4.302326,1
546,0.657081,15186,5,0
547,0.54554,14486,5,0
548,0.592685,14843.04762,4.679245,0
549,0.616579,14952,5,1
550,0.58915,14143.5,4.888889,0
551,0.536325,14487.94872,4.73913,0
552,0.602404,14584,5,1
553,0.613795,14608.07317,4.513514,1
554,0.563992,14480,5,0
555,0.561,13742.15,4.619718,0
556,0.369285,14884,5,0
557,0.651397,14601,5,1
558,0.643733,14652.80851,5,0
559,0.487963,14325,3.986949,0
560,0.506076,14588.53846,4.125,0
561,0.631994,14337,5,0
562,0.532199,15405.98002,5.271001,1
563,0.651685,14734.10855,4.477064,1
564,0.601603,14788.5,3,0
565,0.573024,15059.75,5,1
566,0.441666,15016.63333,5,0
567,0.554327,14594.6,4.704225,0
568,0.4751,14361,5,0
569,0.617811,14806.86885,4.912568,1
570,0.365765,14669.61798,4.497113,1
571,0.600742,14700,3,1
572,0.474517,14646.5,5,0
573,0.584274,14536.20238,4.54717,0
574,0.506443,14078.91667,4.732463,0
575,0.631937,14818.73797,4.542922,1
576,0.585315,15105.55556,4.555556,1
577,0.436657,14754.17021,4.857923,0
578,0.640391,14916.54546,4.97619,0
579,0.538957,14527.58919,4.920323,1
580,0.529811,14861.06742,4.947826,0
581,0.439825,14363.28571,4.898305,0
582,0.534045,15360.42857,6.695652,1
583,0.731072,14434,4,0
584,0.513625,14240.73333,4.880952,1
585,0.675918,14683.23377,4.736842,0
586,0.606789,14329.68421,4.153623,0
587,0.519147,14711.71429,5,0
588,0.50297,14742.00935,4.912698,0
589,0.703983,14867.93281,4.926978,0
590,0.512949,14030.96104,4.295269,0
591,0.642466,14158,5,1
592,0.574426,14476.5,5,1
593,0.546154,14559.33044,4.965217,0
594,0.608492,14729.5,3,0
595,0.522825,14782,3,0
596,0.622407,14710,5,0
597,0.602715,14795,5,0
598,0.663364,15017.11111,4.444444,0
599,0.617781,14934,5,1
600,0.467017,14498.4,5,1
601,0.600926,14707.50704,4.774648,0
602,0.514803,14151.24862,4.471132,0
603,0.553002,15283.3224,4.672131,0
604,0.560956,15239.67105,4.842105,1
605,0.628873,14577,3.5,1
606,0.531416,14593.14286,4.36,0
607,0.628137,14394.09091,4.142202,0
608,0.585995,14608.49778,4.463768,0
609,0.514508,14708,4,0
610,0.63473,14738.5,3,0
611,0.561629,14670.5,5,1
612,0.529636,14049.55882,4.595339,0
613,0.476538,15228.39474,5,0
614,0.581743,14696,3,0
615,0.569896,14236.47059,4.823529,0
616,0.52418,14666,5,0
617,0.691341,14957,5,0
618,0.481053,14913.37541,4.736803,0
619,0.506683,15467.875,6.141791,1
620,0.570774,14616.57143,4.958955,0
621,0.470155,15030,5,0
622,0.611015,14095.47248,4.929825,0
623,0.612995,14743.31965,4.980154,1
624,0.613922,14660.70213,5,0
625,0.616928,14577,5,0
626,0.614471,13611,4.921053,0
627,0.464954,14635.33962,4.811321,0
628,0.610429,14597.37037,4.787234,0
629,0.623737,14602.74074,5,0
630,0.476217,15157.21012,4.895536,1
631,0.471895,14105.2,4.028398,0
632,0.472134,14493.52,5,0
633,0.512805,15091.68476,4.931485,0
634,0.585039,14746,5,0
635,0.541603,14482.28571,4.463768,0
636,0.632882,14580.53488,4.735849,0
637,0.572598,14916.5,5,0
638,0.424832,14983.8871,4.498494,1
639,0.466677,14517.07692,4.235495,1
640,0.526296,14918.9375,5,0
641,0.671326,14726.67606,4.971831,0
642,0.625647,15333,5,0
643,0.574426,14476.5,5,1
644,0.610376,14665,4.232558,0
645,0.688382,14835,3.5,1
646,0.631031,14994,5,0
647,0.681533,14933,5,0
648,0.461984,15071.01471,4.78922,1
649,0.63684,14884.68945,4.746235,1
650,0.624277,14047.5,5,0
651,0.594195,14455,5,0
652,0.623532,14266,3,0
653,0.427011,14591.97037,4.681476,1
654,0.640565,14594.08696,5,0
655,0.540158,14426.27273,4.017241,1
656,0.619163,14816,4,0
657,0.655475,14684.05556,5,0
658,0.456017,14027.5,4,0
659,0.695635,14419.11268,4.746479,0
660,0.556622,14940,3.666667,1
661,0.484724,14849.42105,5,0
662,0.673325,14567.83333,4.444444,0
663,0.508305,14775.58333,4.583333,0
664,0.577932,14175.58333,4.97619,0
665,0.656426,14395.5,3,0
666,0.611786,14044.33333,5,0
667,0.472834,15214.68,5.608696,1
668,0.513625,14240.73333,4.880952,1
669,0.659369,13980.38843,4.960938,0
670,0.50354,14580.3125,4.804688,1
671,0.617843,14723.4,4.6,0
672,0.547465,14678.21212,5,0
673,0.608402,14199,3.666667,0
674,0.674904,14596,5,0
675,0.448412,14489.58379,4.981524,0
676,0.53404,14537.59381,4.913873,1
677,0.385054,14448.91667,4.956522,1
678,0.536148,14558,5,0
679,0.624118,15088.64789,4.915493,0
680,0.523643,14952.71429,4.817073,1
681,0.538799,14014.16038,4.957852,0
682,0.329875,14964.27273,5,0
683,0.585081,14543.4,4.2,0
684,0.472904,14887.11539,4.926978,0
685,0.524633,14766,5,0
686,0.697144,14791,5,0
687,0.564743,14758,5,0
688,0.468836,14594.48781,4.921875,0
689,0.544291,15154,5,0
690,0.518813,14783.81132,4.886792,0
691,0.560461,15091.33333,3,0
692,0.588574,13913,4.568627,0
693,0.600663,15006,5,0
694,0.567611,14761.4,5,0
695,0.610429,14597.37037,4.787234,0
696,0.559342,14690.13333,4.625,1
697,0.56985,13914,4.395349,0
698,0.638351,14647,3,0
699,0.461352,14641,4.941272,0
700,0.615137,14625,5,0
701,0.592345,13823.86111,4.878378,0
702,0.527271,15022,3,0
703,0.568734,14743,5,0
704,0.590484,14159.33333,5,0
705,0.620817,14430.5,3,0
706,0.634834,14690.5971,4.298551,0
707,0.636726,14418.64407,4.928571,0
708,0.546738,14431.44444,5,1
709,0.479998,15225.98246,5,0
710,0.723267,14824,5,0
711,0.642346,13764.55769,4.94929,0
712,0.625392,14394,3.5,0
713,0.588011,14811.84211,3.655172,1
714,0.574426,14476.5,5,1
715,0.56484,14423,3,0
716,0.701565,14146.08333,3.948387,0
717,0.58639,14123,3,0
718,0.515248,14297.66667,5,0
719,0.655916,14739,4,0
720,0.435367,14722.40051,4.898305,0
721,0.510489,14252.125,4.086207,0
722,0.476959,14054.33333,4.625,0
723,0.657366,14645.75,4.964286,0
724,0.429191,15001.74691,4.643072,1
725,0.470658,14887.44444,4.95614,1
726,0.504111,14087.55556,4.172414,0
727,0.630556,13929.75807,4.891892,0
728,0.619727,14357,4.428571,0
729,0.65963,14918,5,0
730,0.594617,14943,4,0
731,0.535231,15086.61111,4.888889,0
732,0.503515,14834.05263,3.724138,1
733,0.697767,14833,5,0
734,0.515754,14163.60314,4.763458,0
735,0.499876,15160.45833,4.666667,1
736,0.573963,14801.7,3.8,1
737,0.457004,14646,4.93913,1
738,0.585481,14526.9,4.2,0
739,0.574706,14570.65335,4.792554,0
740,0.526338,14964.42494,4.959584,1
741,0.533474,14778.5,5,0
742,0.495343,14745,5,1
743,0.592957,14621.8,4.375,0
744,0.446279,15151.96375,4.859233,1
745,0.629497,15187.88889,4.888889,0
746,0.547747,14922,5,0
747,0.487941,14517.46667,5,0
748,0.497609,14713.71429,5,1
749,0.645652,14894,5,0
750,0.624658,14454,5,0
751,0.477516,15391.49565,4.304348,1
752,0.502366,14412.5,4.644809,0
753,0.588011,14811.84211,3.655172,1
754,0.62542,14418.5512,4.556314,0
755,0.461416,14095.67857,5,0
756,0.490148,15441.55357,4.086207,1
757,0.587625,14881.3,3.8,0
758,0.447169,14401.53333,4.901408,0
759,0.540663,13749,4.273171,0
760,0.611025,14949,5,0
761,0.588391,14539,3,0
762,0.634132,14421.94595,4.716981,0
763,0.532569,15049.47059,5,1
764,0.630983,14725.5,5,0
765,0.723267,14824,5,0
766,0.576046,14755.5,5,0
767,0.661699,14364,5,0
768,0.438553,14720.30769,5,1
769,0.622966,14855.5,3,1
770,0.583466,14402.22857,4.764706,0
771,0.63519,14999,5,0
772,0.50354,14580.3125,4.804688,1
773,0.590409,15065.66667,3,0
774,0.538456,15011.48185,4.295652,0
775,0.606802,14357.25,4.119266,0
776,0.528226,15375.04762,4.714286,1
777,0.644838,14237.72727,4.22973,1
778,0.525336,14971.16667,4.888889,0
779,0.654314,14360,5,0
780,0.63352,14869,5,0
781,0.697282,14532.11268,4.943662,0
782,0.656282,14294.24138,4.837838,1
783,0.623075,14741,5,0
784,0.507127,14891.34483,3.758621,0
785,0.622723,14553.33333,3,0
786,0.657366,14645.75,4.964286,0
787,0.62817,15225,5,1
788,0.533279,13714,3.7,0
789,0.578616,14681,5,0
790,0.475513,14598.67178,4.558084,1
791,0.661154,14460.73684,4.945313,0
792,0.528958,14219,3,0
793,0.619918,14436.63208,4.735849,0
794,0.552122,14442.43909,4.223004,0
795,0.636432,14411.07692,4.478163,1
796,0.496884,15114,5,0
797,0.559443,14559,3,0
798,0.624507,14828.34043,5,0
